id
"(135419, 93102, 18)"
"(135419, 93105, 18)"
"(135419, 93106, 18)"
"(135420, 93104, 18)"
"(135422, 93101, 18)"
"(135428, 93082, 18)"
"(135428, 93085, 18)"
"(135429, 93083, 18)"
"(135430, 93083, 18)"
"(135435, 93054, 18)"
"(135435, 93101, 18)"
"(135435, 93103, 18)"
"(135436, 93054, 18)"
"(135436, 93056, 18)"
"(135436, 93103, 18)"
"(135437, 93055, 18)"
"(135437, 93057, 18)"
"(135437, 93076, 18)"
"(135437, 93101, 18)"
"(135437, 93102, 18)"
"(135438, 93058, 18)"
"(135438, 93059, 18)"
"(135438, 93076, 18)"
"(135439, 93094, 18)"
"(135440, 93074, 18)"
"(135440, 93083, 18)"
"(135441, 93083, 18)"
"(135442, 93082, 18)"
"(135442, 93083, 18)"
"(135442, 93108, 18)"
"(135443, 93081, 18)"
"(135443, 93109, 18)"
"(135444, 93082, 18)"
"(135444, 93098, 18)"
"(135444, 93107, 18)"
"(135444, 93109, 18)"
"(135445, 93085, 18)"
"(135445, 93098, 18)"
"(135446, 93096, 18)"
"(135446, 93108, 18)"
"(135446, 93111, 18)"
"(135449, 93108, 18)"
"(135449, 93109, 18)"
"(135450, 93064, 18)"
"(135453, 93079, 18)"
"(135454, 93077, 18)"
"(135454, 93110, 18)"
"(135455, 93056, 18)"
"(135456, 93038, 18)"
"(135456, 93039, 18)"
"(135456, 93078, 18)"
"(135457, 93077, 18)"
"(135457, 93079, 18)"
"(135457, 93080, 18)"
"(135458, 93077, 18)"
"(135458, 93079, 18)"
"(135458, 93080, 18)"
"(135458, 93085, 18)"
"(135458, 93086, 18)"
"(135459, 93026, 18)"
"(135460, 93026, 18)"
"(135461, 93044, 18)"
"(135461, 93048, 18)"
"(135462, 93043, 18)"
"(135463, 93027, 18)"
"(135464, 93031, 18)"
"(135464, 93037, 18)"
"(135465, 93034, 18)"
"(135465, 93038, 18)"
"(135466, 93097, 18)"
"(135467, 93037, 18)"
"(135467, 93095, 18)"
"(135467, 93096, 18)"
"(135468, 93032, 18)"
"(135468, 93038, 18)"
"(135468, 93099, 18)"
"(135469, 93026, 18)"
"(135469, 93027, 18)"
"(135469, 93094, 18)"
"(135469, 93095, 18)"
"(135469, 93113, 18)"
"(135469, 93114, 18)"
"(135470, 93026, 18)"
"(135470, 93027, 18)"
"(135470, 93061, 18)"
"(135470, 93098, 18)"
"(135470, 93110, 18)"
"(135471, 93048, 18)"
"(135471, 93056, 18)"
"(135471, 93061, 18)"
"(135471, 93062, 18)"
"(135471, 93078, 18)"
"(135472, 93063, 18)"
"(135472, 93089, 18)"
"(135472, 93110, 18)"
"(135472, 93111, 18)"
"(135473, 93051, 18)"
"(135473, 93065, 18)"
"(135473, 93109, 18)"
"(135474, 93065, 18)"
"(135475, 93081, 18)"
"(135477, 93087, 18)"
"(135478, 93035, 18)"
"(135479, 93013, 18)"
"(135481, 93087, 18)"
"(135482, 93012, 18)"
"(135482, 93089, 18)"
"(135483, 93088, 18)"
"(135483, 93089, 18)"
"(135483, 93090, 18)"
"(135483, 93091, 18)"
"(135484, 93009, 18)"
"(135484, 93081, 18)"
"(135484, 93091, 18)"
"(135485, 93080, 18)"
"(135485, 93089, 18)"
"(135486, 93079, 18)"
"(135486, 93080, 18)"
"(135486, 93081, 18)"
"(135487, 93041, 18)"
"(135487, 93078, 18)"
"(135488, 93023, 18)"
"(135488, 93079, 18)"
"(135489, 93023, 18)"
"(135489, 93024, 18)"
"(135490, 93079, 18)"
"(135490, 93080, 18)"
"(135490, 93081, 18)"
